level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	7	1	3	6	215	585	32	10	95	vitae
5	1	7	1	3	7	251	587	65	8	94	accumsan
5	1	7	1	3	8	321	585	41	14	77	turpis.
5	1	7	1	3	9	367	585	55	14	96	Quisque
5	1	7	1	3	10	427	584	52	13	94	lobortis,
5	1	7	1	3	11	483	584	28	11	92	velit
5	1	7	1	3	12	516	584	10	11	92	id
5	1	7	1	3	13	531	584	55	11	93	faucibus
5	1	7	1	3	14	592	584	47	13	96	blandit,
5	1	7	1	3	15	645	585	40	10	96	metus
5	1	7	1	3	16	690	584	33	15	96	ligula
5	1	7	1	3	17	729	585	45	14	95	sagittis
5	1	7	1	3	18	779	584	41	13	85	lectus,
5	1	7	1	3	19	825	587	7	8	85	a
5	1	7	1	3	20	837	585	45	14	90	sagittis
5	1	7	1	3	21	887	585	42	14	85	sapien
4	1	7	1	4	0	28	604	901	15	-1	
5	1	7	1	4	1	28	605	39	14	92	Ipsum
5	1	7	1	4	2	71	607	4	8	96	a
5	1	7	1	4	3	82	605	44	14	74	ipsum.
5	1	7	1	4	4	132	605	45	14	94	Integer
5	1	7	1	4	5	181	605	49	14	96	tempus
5	1	7	1	4	6	235	604	45	11	94	blandit
5	1	7	1	4	7	285	607	43	10	88	massa,
5	1	7	1	4	8	333	604	45	11	96	dictum
5	1	7	1	4	9	383	604	38	11	96	luctus
5	1	7	1	4	10	426	607	43	12	96	magna
5	1	7	1	4	11	473	604	48	15	96	gravida
5	1	7	1	4	12	526	607	27	8	95	non.
5	1	7	1	4	13	558	605	29	10	95	Cras
5	1	7	1	4	14	592	604	37	11	95	mollis
5	1	7	1	4	15	634	604	51	15	93	dapibus
5	1	7	1	4	16	690	607	44	12	96	neque,
5	1	7	1	4	17	738	605	15	10	96	sit
5	1	7	1	4	18	757	605	34	10	93	amet
5	1	7	1	4	19	787	596	54	29	77	efficitur
5	1	7	1	4	20	843	604	30	11	84	felis
5	1	7	1	4	21	879	604	50	11	66	ultricies
4	1	7	1	5	0	27	624	860	15	-1	
5	1	7	1	5	1	27	625	34	10	93	vitae.
5	1	7	1	5	2	65	625	55	10	96	Vivamus
5	1	7	1	5	3	125	625	11	10	95	in
5	1	7	1	5	4	140	624	35	11	93	tellus
5	1	7	1	5	5	179	624	79	15	94	ullamcorper
5	1	7	1	5	6	262	627	28	8	96	eros
5	1	7	1	5	7	294	625	44	10	95	viverra
5	1	7	1	5	8	342	625	66	10	96	venenatis.
5	1	7	1	5	9	413	625	41	10	96	Donec
5	1	7	1	5	10	458	625	44	10	91	viverra
5	1	7	1	5	11	507	627	40	12	96	neque
5	1	7	1	5	12	551	625	31	10	96	vitae
5	1	7	1	5	13	586	624	54	15	91	volutpat
5	1	7	1	5	14	644	627	50	12	94	congue.
5	1	7	1	5	15	698	625	55	10	96	Vivamus
5	1	7	1	5	16	758	625	28	14	93	eget
5	1	7	1	5	17	790	624	52	11	92	rhoncus
5	1	7	1	5	18	847	624	40	11	95	lectus.
2	1	8	0	0	0	28	659	902	55	-1	
3	1	8	1	0	0	28	659	902	55	-1	
4	1	8	1	1	0	28	659	902	15	-1	
5	1	8	1	1	1	28	659	23	11	96	Sed
5	1	8	1	1	2	57	662	37	12	94	purus
5	1	8	1	1	3	99	659	37	15	96	ligula,
5	1	8	1	1	4	141	659	45	11	96	dictum
5	1	8	1	1	5	191	660	28	14	93	eget
5	1	8	1	1	6	224	659	55	11	89	eulsmod
5	1	8	1	1	7	284	662	18	10	96	ac,
5	1	8	1	1	8	307	660	48	14	96	tempor
5	1	8	1	1	9	360	660	42	10	96	auctor
5	1	8	1	1	10	407	662	47	12	90	magna.
5	1	8	1	1	11	460	659	60	11	92	Phasellus
5	1	8	1	1	12	525	662	14	8	96	ac
5	1	8	1	1	13	545	662	40	12	94	neque
5	1	8	1	1	14	590	659	58	13	96	faucibus,
5	1	8	1	1	15	653	662	65	8	95	accumsan
5	1	8	1	1	16	724	662	28	8	96	eros
5	1	8	1	1	17	757	660	15	12	96	et,
5	1	8	1	1	18	778	659	53	15	96	pulvinar
5	1	8	1	1	19	835	659	32	11	95	odio.
5	1	8	1	1	20	873	660	57	10	80	Praesent
4	1	8	1	2	0	28	679	901	15	-1	
5	1	8	1	2	1	28	680	15	10	95	sit
5	1	8	1	2	2	47	680	34	10	95	amet
5	1	8	1	2	3	86	679	38	11	96	mollis
5	1	8	1	2	4	129	682	31	8	94	arcu.
5	1	8	1	2	5	167	680	29	10	95	Nam
5	1	8	1	2	6	202	680	54	14	96	tristique
5	1	8	1	2	7	261	680	13	10	96	at
5	1	8	1	2	8	278	682	37	12	94	quam
5	1	8	1	2	9	321	679	22	11	93	sed
5	1	8	1	2	10	349	679	56	11	86	rhoncus.
5	1	8	1	2	11	410	680	54	14	96	Quisque
5	1	8	1	2	12	470	680	12	10	96	et
5	1	8	1	2	13	487	680	19	10	96	est
5	1	8	1	2	14	512	679	40	11	96	lectus.
5	1	8	1	2	15	558	680	44	10	91	Mauris
5	1	8	1	2	16	608	680	10	10	84	in
